epoch,accuracy,loss,val_accuracy,val_loss
0,0.6746987700462341,0.5942477583885193,NA,NA
1,0.7951807379722595,0.4534962773323059,NA,NA
2,0.759036123752594,0.4801032841205597,NA,NA
3,0.8192771077156067,0.4240571856498718,NA,NA
4,0.759036123752594,0.4786575436592102,NA,NA
5,0.8253012299537659,0.3520178198814392,NA,NA
6,0.849397599697113,0.33935049176216125,NA,NA
7,0.8554216623306274,0.3527856767177582,NA,NA
8,0.8554216623306274,0.3168226182460785,NA,NA
9,0.9036144614219666,0.2551843523979187,NA,NA
10,0.8802083134651184,0.2846842408180237,NA,NA
11,0.8958333134651184,0.2945561110973358,NA,NA
12,0.891566276550293,0.24914869666099548,NA,NA
13,0.8975903391838074,0.2541475296020508,NA,NA
14,0.8674699068069458,0.29442331194877625,NA,NA
15,0.8855421543121338,0.2870105504989624,NA,NA
16,0.8975903391838074,0.2588001787662506,NA,NA
17,0.8554216623306274,0.3437771499156952,NA,NA
18,0.8554216623306274,0.33520007133483887,NA,NA
19,0.8802083134651184,0.2888752222061157,NA,NA
20,0.9010416865348816,0.24559396505355835,NA,NA
21,0.9277108311653137,0.24315756559371948,NA,NA
22,0.8975903391838074,0.23993393778800964,NA,NA
23,0.8734939694404602,0.2889431416988373,NA,NA
24,0.8554216623306274,0.3148312270641327,NA,NA
25,0.8489583134651184,0.3407306671142578,NA,NA
26,0.8795180916786194,0.27834317088127136,NA,NA
27,0.8795180916786194,0.2506585121154785,NA,NA
28,0.9036144614219666,0.22808833420276642,NA,NA
29,0.8975903391838074,0.22068056464195251,NA,NA
30,0.9322916865348816,0.23441959917545319,NA,NA
31,0.8795180916786194,0.2885536253452301,NA,NA
32,0.8854166865348816,0.2304583042860031,NA,NA
33,0.9277108311653137,0.19734925031661987,NA,NA
34,0.9096385836601257,0.25719234347343445,NA,NA
35,0.9270833134651184,0.19279859960079193,NA,NA
36,0.891566276550293,0.2248452603816986,NA,NA
37,0.9397590160369873,0.19371452927589417,NA,NA
38,0.9036144614219666,0.21273329854011536,NA,NA
39,0.8855421543121338,0.22759394347667694,NA,NA
40,0.891566276550293,0.21944445371627808,NA,NA
41,0.9397590160369873,0.16311170160770416,NA,NA
42,0.9578313231468201,0.1531277894973755,NA,NA
43,0.9096385836601257,0.22658632695674896,NA,NA
44,0.9457831382751465,0.15117938816547394,NA,NA
45,0.9518072009086609,0.14267566800117493,NA,NA
46,0.9337349534034729,0.1655699908733368,NA,NA
47,0.9397590160369873,0.1545976996421814,NA,NA
48,0.9457831382751465,0.19191864132881165,NA,NA
49,0.9166666865348816,0.19532357156276703,NA,NA
50,0.9216867685317993,0.20659594237804413,NA,NA
51,0.9036144614219666,0.2394038438796997,NA,NA
52,0.9337349534034729,0.2189064919948578,NA,NA
53,0.9036144614219666,0.22094666957855225,NA,NA
54,0.9518072009086609,0.15993867814540863,NA,NA
55,0.9819276928901672,0.10544200241565704,NA,NA
56,0.9277108311653137,0.1668957769870758,NA,NA
57,0.9277108311653137,0.16339309513568878,NA,NA
58,0.9216867685317993,0.19163741171360016,NA,NA
59,0.9578313231468201,0.1419389396905899,NA,NA
60,0.9216867685317993,0.18980444967746735,NA,NA
61,0.9457831382751465,0.15005330741405487,NA,NA
62,0.9479166865348816,0.14279258251190186,NA,NA
63,0.9277108311653137,0.20821791887283325,NA,NA
64,0.9337349534034729,0.13838379085063934,NA,NA
65,0.890625,0.20470058917999268,NA,NA
66,0.9457831382751465,0.14633017778396606,NA,NA
67,0.9518072009086609,0.12722086906433105,NA,NA
68,0.9397590160369873,0.14875571429729462,NA,NA
69,0.9457831382751465,0.1557796150445938,NA,NA
70,0.9216867685317993,0.17605464160442352,NA,NA
71,0.9277108311653137,0.19978590309619904,NA,NA
72,0.9457831382751465,0.1414695531129837,NA,NA
73,0.9216867685317993,0.17551295459270477,NA,NA
74,0.9457831382751465,0.14075921475887299,NA,NA
75,0.9427083134651184,0.163111612200737,NA,NA
76,0.9337349534034729,0.14661967754364014,NA,NA
77,0.9698795080184937,0.10683635622262955,NA,NA
78,0.9277108311653137,0.15990978479385376,NA,NA
79,0.9277108311653137,0.17282092571258545,NA,NA
80,0.8734939694404602,0.31424230337142944,NA,NA
81,0.9216867685317993,0.1926526427268982,NA,NA
82,0.90625,0.21177096664905548,NA,NA
83,0.9270833134651184,0.1918802708387375,NA,NA
84,0.9156626462936401,0.17424631118774414,NA,NA
85,0.9518072009086609,0.13944892585277557,NA,NA
86,0.9397590160369873,0.14279121160507202,NA,NA
87,0.9397590160369873,0.15223367512226105,NA,NA
88,0.9698795080184937,0.10635922104120255,NA,NA
89,0.9427083134651184,0.13605190813541412,NA,NA
90,0.9518072009086609,0.14690130949020386,NA,NA
91,0.9759036302566528,0.1360594630241394,NA,NA
92,0.9578313231468201,0.11343081295490265,NA,NA
93,0.9638554453849792,0.11537064611911774,NA,NA
94,0.9518072009086609,0.1264239400625229,NA,NA
95,0.9397590160369873,0.1407308727502823,NA,NA
96,0.9518072009086609,0.125044047832489,NA,NA
97,0.9096385836601257,0.2375732809305191,NA,NA
98,0.9457831382751465,0.13311466574668884,NA,NA
99,0.9397590160369873,0.1364627331495285,NA,NA
